price,ram_capacity,internal_memory,processor_speed,battery_capacity,primary_camera_rear,primary_camera_front,num_cores,num_rear_cameras,screen_size,resolution_width,resolution_height,fast_charging_available
45819.99059053904,8,172,3.104292616663499,4834,104,50,8,4,7.1,1440,3200,1
53519.08361888451,10,182,3.0667698174178497,5303,80,47,8,4,6.736850326524137,1486,3200,1
21004.180780544168,7,156,2.28878865677102,5717,49,24,8,3,6.854220359494331,1133,2466,1
46108.77290654021,9,207,3.1672044960211307,4482,89,51,8,4,6.835315876801521,1483,3200,1
30053.96922018632,5,162,2.2352143383485394,4952,41,35,8,3,6.397521565368929,1106,2589,1
14057.24824044171,5,88,1.611296110013111,4686,21,20,8,3,6.564838779078723,1058,2400,0
79850.9244701778,11,158,2.8363502496058186,5062,89,54,8,4,7.1,1440,3200,1
71141.26744994168,8,263,2.696074979060417,5373,92,60,8,4,6.863454061177838,1440,3200,1
66789.50573268782,10,258,3.028743345177004,5520,113,46,8,4,6.742929152730433,1440,3399,1
30923.093485236768,5,112,2.6086616619221967,4973,42,36,8,2,6.6687617317037535,1080,2400,1
82278.17383622321,9,166,3.0501271948476654,5359,110,50,8,4,6.797746551691022,1440,3200,1
57943.10105683009,8,195,2.8338596841300596,5188,79,42,8,4,6.923158261157473,1440,3415,1
22716.990037018455,7,89,2.4295123280888538,4668,37,28,8,3,6.9,1104,2400,1
75944.70902113886,9,351,2.9134178431118007,4904,120,50,8,4,6.661232123194041,1440,3368,1
21174.278804024885,5,39,1.9675252757438162,4771,30,13,8,3,6.325486185836059,1080,2400,0
11232.993943012554,4,71,1.8717557139439187,4721,28,22,7,3,6.28830319203312,1080,2370,0
26184.99502615148,6,132,2.286688475076964,4683,37,26,8,3,6.7624406926242315,1086,2400,1
57283.739138333935,10,159,3.2054241012719986,4742,68,35,8,4,6.720769016132107,1478,3397,1
59551.6341098484,10,374,3.020530291948045,5131,109,50,8,4,6.801525062694879,1446,3200,1
14233.141888408209,5,57,2.3565264719263332,3985,22,15,8,2,6.290608854121127,973,2400,0
15187.07936590651,4,87,2.050559349725423,5062,20,18,8,2,6.005252053356469,1027,2365,0
29176.91310732833,6,87,2.793927610281683,5168,59,27,8,3,6.647625948988908,1083,2472,1
14402.662851728242,2,68,2.30082573488121,4318,23,12,8,1,6.335542356034508,1080,2400,0
14396.35191516723,4,75,1.6456700028161309,4227,20,18,8,2,6.149171100430674,1080,2400,0
51985.5921062735,8,294,2.9369164826154655,5068,95,52,8,4,7.010496045678739,1440,3200,1
